"Cement, lime, plaster and articles of concrete, cement and plaster ",84,0,0,4,8,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,3,0,0,0,896,13,26,22,2,1,0,0,2,2,0,0,0,0,0,0,0,0,8,0,11,21,38,2,5756,3,152,30,45,3,0,1,11,4,0,0,0,29,17,1,0,0,0,0,14,0,0,0,0,0,0,2,1,0,0,3,0,1,17,3,188,250,45,7,5,19,3,74,3,0,3
"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",57,0,0,4,3,63,0,0,50,0,20,0,0,134,0,393,63,0,0,0,0,62,3,0,0,8,61,12,9,59,0,35,205,158,576,149,138,0,71,224,92,12,488,25,6,0,1,15,16,0,11,3,0,0,3,46,0,4298,240,319,106,46,31,2,16,39,13,15,39,0,13,45,9,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,8,2,1,33,3,126,157,38,34,1,6,11,8,7,1,4
Basic iron and steel            ,4,0,0,1,130,4,12,1,1,0,2,1,0,2,0,0,0,0,5,0,0,1,0,1,25,1,1,2,1,0,1,1,42,42,2,2877,91,11,3751,116,223,1689,1891,80,58,105,387,52,28,5,134,14,2,14,0,14,0,130,6,6,1,12,34,0,0,1,6,0,0,0,0,6,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0
Other basic metals and casting           ,213,0,0,0,19,1,2,0,17,0,0,0,0,20,0,0,0,4,2,0,0,0,0,6,2,0,0,102,8,88,0,47,70,53,103,92,4483,26,2841,401,1331,1501,2949,22,981,40,82,240,22,67,117,480,0,6,4,6,0,820,7,101,161,2,9,2,1,4,22,0,0,1,0,91,20,2,1,18,0,0,0,0,1,0,1,2,4,0,0,2,2,0,0,30,1,1,5,0,0,0,0,2,0,0,1,2
Weapons and ammunition             ,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1397,20,0,0,23,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,0,0,0,0,0,0,0,0,0,0
"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ",205,4,12,64,644,25,134,85,98,0,51,4,91,223,171,530,311,6,35,22,18,173,28,89,223,60,215,49,15,35,16,83,616,158,155,137,176,65,3266,536,873,3209,3560,222,3229,135,213,284,53,186,156,370,32,16,10,101,0,5525,234,215,218,64,27,34,6,25,14,5,15,7,5,40,21,2,30,32,22,66,1,1,0,1,6,2,14,3,1,11,13,1,1,19,10,32,162,93,144,1,0,5,16,0,18,2
"Computer, electronic and optical products           ",27,25,9,18,14,17,2,24,3,1,8,6,15,25,6,13,5,5,17,14,3,21,35,19,2,7,13,84,26,102,20,28,39,22,12,119,105,12,132,5223,887,467,973,103,368,14,16,652,36,38,417,219,75,20,18,141,2,489,149,204,102,7,114,6,28,86,45,36,94,30,146,4145,524,62,131,74,50,82,2,18,0,10,90,18,20,66,46,59,25,34,15,21,17,8970,961,7206,367,17,44,34,114,15,95,28
Electrical equipment              ,87,0,2,2,99,1,10,3,1,0,2,0,3,1,1,1,3,4,2,0,1,5,3,2,2,0,3,1,1,3,1,1,14,4,5,14,9,27,35,709,1245,593,942,79,53,36,3,278,35,6,437,1371,33,8,0,42,0,2078,110,194,313,13,403,13,21,33,69,1,2,2,75,648,179,26,103,44,27,53,2,20,0,7,30,13,21,17,0,284,16,4,28,12,15,785,153,4,86,4,15,15,66,9,120,41
Machinery and equipment n.e.c.            ,68,8,6,84,167,56,22,203,21,4,46,54,95,158,28,76,27,0,42,15,1,81,245,178,110,20,10,40,38,40,22,54,132,99,66,369,165,52,96,272,480,2901,1841,281,421,43,78,42,58,39,237,294,43,173,10,191,0,1495,706,323,118,38,81,7,3,21,28,7,9,21,63,97,68,8,62,50,15,89,0,14,1,6,13,2,25,37,0,72,15,2,30,12,12,330,22,3,47,0,0,3,44,1,13,6
"Motor vehicles, trailers and semi-trailers           ",72,36,0,25,0,50,2,25,5,1,29,5,31,11,12,49,12,1,21,7,1,32,21,16,2,6,0,8,12,32,13,6,78,50,22,68,63,11,95,106,214,681,11223,7,8,69,88,27,10,1,211,68,6,13,17,62,0,232,6698,543,383,5,1208,7,10,135,307,15,51,10,57,134,164,24,172,147,57,84,2,35,27,54,96,12,54,27,1,1087,82,40,444,42,72,555,135,42,379,1,13,12,75,7,33,30
